retro_park_id,altitude_ft,foul_territory_sqft,roof,surface
PHI12,18,,open,turf
PHI13,19,24500.0,open,grass
PHI14,98,,open,grass
PHO01,1059,25500.0,retractable,turf
PIT01,767,,open,grass
PIT02,729,,open,grass
PIT03,729,,open,grass
PIT04,765,,open,grass
PIT05,729,,open,grass
PIT06,893,,open,grass
PIT07,730,,open,turf
PIT08,724,22200.0,open,grass
PRO01,61,,open,grass
PRO02,83,,open,grass
RCK01,714,,open,grass
RIC01,185,,open,grass
RIC02,205,,open,grass
ROC01,492,,open,grass
ROC02,492,,open,grass
ROC03,268,,open,grass
SAI01,5,,open,grass
SAN01,83,,open,grass
SAN02,14,23900.0,open,grass
SEA01,61,19900.0,open,grass
SEA02,17,28000.0,dome,turf
SEA03,17,24300.0,retractable,grass
SEO01,125,,dome,turf
SFO01,61,22700.0,open,grass
SFO02,135,,open,grass
SFO03,8,25500.0,open,grass
SJU01,10,38700.0,open,grass
SPA01,791,,open,grass
SPR01,67,,open,grass
STL01,462,,open,grass
STL02,492,,open,grass
STL03,492,,open,grass
STL04,507,,open,grass
STL05,500,,open,grass
STL06,492,,open,grass
STL07,492,,open,grass
STL08,512,,open,grass
STL09,460,,open,grass
STL10,438,25400.0,open,grass
STP01,41,25300.0,dome,turf
SYD01,190,,open,grass
SYR01,392,,open,grass
SYR02,395,,open,grass
SYR03,395,,open,grass
THR01,369,,open,grass
TOK01,57,,dome,turf
TOL01,609,,open,grass
TOL02,617,,open,grass
TOL03,609,,open,grass
TOL04,597,,open,grass
TOR01,273,26100.0,open,turf
TOR02,268,,retractable,turf
TRO01,32,,open,grass
TRO02,250,,open,grass
WAR01,38,,open,grass
WAS01,91,,open,grass
WAS02,89,,open,grass
WAS03,74,,open,grass
WAS04,85,,open,grass
WAS05,40,,open,grass
WAS06,100,,open,grass
WAS07,48,,open,grass
WAS08,100,,open,grass
WAS09,100,,open,grass
WAS10,24,29700.0,open,grass
WAS11,23,,open,grass
WAT01,47,,open,grass
WAV01,18,,open,grass
WEE01,179,,open,grass
WHE01,649,,open,grass
WIL01,150,,open,grass
WIL02,518,,open,grass
WNY01,175,,open,grass
WOR01,496,,open,grass
WOR02,496,,open,grass
WOR03,496,,open,grass
