player_id,position,oaa_rating,arm_rating,arm_rating_filled
501303,SS,73,,50
501571,CF,68,,50
501896,3B,56,,50
501981,LF,91,,50
502054,CF,21,,50
502054,LF,40,56,56
502054,RF,36,,50
502082,RF,24,,50
502110,RF,5,,50
502143,1B,89,,50
502143,3B,8,,50
502210,RF,80,,50
502481,CF,60,,50
502517,1B,4,,50
502517,2B,1,,50
502671,1B,77,13,13
503556,1B,98,,50
503556,SS,51,,50
514888,2B,39,11,11
514917,2B,36,,50
516416,2B,90,,50
516416,3B,18,,50
516416,SS,40,,50
516770,2B,90,,50
516770,3B,50,,50
516782,CF,59,,50
516782,LF,67,,50
516782,RF,20,,50
517369,2B,53,,50
517369,LF,59,,50
518586,3B,78,,50
518614,2B,12,,50
518618,2B,36,,50
518618,3B,4,,50
518618,LF,2,,50
518626,3B,80,,50
518692,1B,83,81,81
518792,CF,66,,50
518792,RF,92,,50
518934,2B,92,15,15
518934,3B,71,,50
519048,1B,84,,50
519058,3B,35,,50
519184,CF,56,,50
519184,LF,91,,50
519203,1B,86,,50
519295,CF,48,,50
519299,2B,81,,50
519306,RF,88,,50
519317,RF,62,,50
519346,1B,89,,50
520471,SS,79,,50
523253,2B,24,,50
527038,1B,69,,50
527038,2B,30,,50
541645,RF,66,,50
541650,3B,50,,50
542255,CF,96,,50
542303,CF,8,,50
542303,LF,45,,50
542340,2B,64,,50
542340,3B,14,,50
542340,SS,11,,50
542364,CF,17,,50
542454,CF,17,,50
542583,1B,68,,50
542921,SS,23,,50
542932,SS,65,,50
542979,CF,88,,50
542993,CF,40,,50
543063,SS,88,,50
543068,1B,81,,50
543105,LF,33,,50
543213,2B,53,,50
543257,LF,52,,50
543257,RF,41,,50
543281,2B,74,,50
543305,CF,21,,50
543308,1B,62,,50
543333,1B,11,,50
543401,2B,16,,50
543434,2B,12,,50
543484,CF,40,,50
543484,LF,59,,50
543543,1B,73,,50
543543,2B,12,,50
543543,SS,1,,50
543590,CF,29,,50
543592,1B,73,,50
543685,3B,55,,50
543760,2B,97,32,32
543760,SS,19,,50
543768,3B,77,,50
543776,CF,3,,50
543807,CF,36,,50
543807,RF,64,10,10
543829,2B,21,,50
543939,2B,40,,50
544369,SS,5,,50
544725,2B,36,,50
544725,CF,35,,50
545121,3B,87,,50
545341,CF,24,,50
545341,LF,37,,50
545341,RF,80,40,40
545350,CF,85,,50
545361,CF,29,,50
546318,CF,65,,50
546991,CF,68,,50
547004,3B,43,,50
547170,LF,81,,50
547180,1B,93,53,53
547180,RF,15,,50
547957,LF,49,,50
547982,CF,70,,50
547989,1B,47,,50
553988,2B,24,,50
553993,3B,76,44,44
570256,RF,62,,50
570267,LF,7,,50
570267,RF,10,,50
570482,3B,35,4,4
570560,2B,60,,50
570560,3B,95,,50
570731,1B,93,,50
570731,2B,97,,50
570799,3B,71,,50
571431,1B,58,,50
571437,LF,81,,50
571448,3B,98,54,54
571506,1B,54,,50
571657,SS,51,,50
571697,2B,14,,50
571718,LF,91,,50
571740,CF,95,,50
571745,RF,39,,50
571771,2B,64,,50
571771,3B,50,,50
571771,CF,77,,50
571771,SS,4,,50
571788,2B,69,,50
571788,3B,59,,50
571788,LF,81,,50
571830,1B,14,,50
571875,3B,44,,50
571970,1B,66,,50
571970,2B,53,,50
571970,3B,20,67,67
571976,1B,79,,50
571976,CF,29,,50
571976,RF,62,,50
571980,CF,1,,50
571980,RF,70,,50
572008,SS,14,,50
572039,RF,58,,50
572041,CF,52,,50
572041,LF,67,,50
572114,2B,24,,50
572114,3B,14,,50
572122,3B,83,,50
572138,1B,4,,50
572191,CF,81,29,29
572228,1B,1,,50
572233,1B,99,31,31
572365,SS,30,,50
572761,1B,54,,50
572761,3B,39,,50
572816,LF,77,,50
572821,2B,69,,50
573262,CF,40,,50
573262,LF,81,,50
573262,RF,55,37,37
575929,1B,97,99,99
576397,2B,81,,50
576397,3B,92,,50
578428,2B,53,63,63
578428,SS,77,25,25
581527,2B,7,,50
588751,SS,83,,50
591720,2B,64,,50
592178,3B,71,,50
592178,RF,24,,50
592192,CF,18,,50
592192,LF,42,,50
592206,3B,10,,50
592206,RF,4,1,1
592261,CF,78,,50
592273,2B,78,,50
592273,3B,82,,50
592273,LF,37,,50
592325,LF,33,,50
592348,2B,81,,50
592348,SS,65,,50
592387,1B,4,,50
592387,3B,71,,50
592444,CF,48,,50
592450,CF,21,,50
592450,RF,89,53,53
592518,3B,66,83,83
592518,SS,57,,50
592567,1B,30,,50
592567,3B,5,,50
592626,CF,13,,50
592626,LF,30,,50
592669,RF,44,44,44
592696,LF,48,,50
592743,SS,96,,50
592859,CF,21,,50
592885,CF,29,,50
592885,LF,76,1,1
592885,RF,52,,50
593160,2B,58,,50
593428,2B,85,,50
593428,SS,32,36,36
593528,RF,41,,50
593643,2B,44,,50
593871,2B,9,63,63
593871,SS,18,,50
593934,1B,30,,50
593934,3B,18,,50
594694,2B,53,,50
594694,SS,87,,50
594777,RF,48,,50
594807,CF,13,,50
594807,LF,98,,50
594807,RF,78,,50
594809,RF,81,,50
594824,2B,44,,50
594988,RF,62,,50
595281,CF,91,,50
595375,SS,87,,50
595777,2B,8,,50
595777,LF,15,25,25
595777,SS,14,,50
595879,2B,76,,50
595879,SS,86,85,85
595885,1B,73,,50
595909,CF,29,,50
595909,RF,48,,50
596019,SS,95,25,25
596059,2B,76,,50
596103,CF,40,,50
596105,LF,7,,50
596115,2B,96,,50
596115,SS,54,44,44
596143,SS,8,,50
596144,1B,18,,50
596144,3B,34,,50
596146,LF,72,15,15
596146,RF,96,6,6
596748,3B,30,,50
596847,1B,49,,50
598265,CF,86,,50
598265,RF,86,,50
600303,2B,44,,50
600524,3B,5,,50
600869,3B,42,,50
602074,CF,40,,50
602104,3B,31,12,12
605113,SS,97,,50
605119,3B,62,,50
605119,RF,41,,50
605125,LF,30,,50
605137,1B,23,4,4
605141,2B,36,,50
605141,RF,98,,50
605141,SS,46,33,33
605204,3B,89,,50
